file,Number of Packets,Median Time Between Packets,Bytes Down,Bytes Up,Number of Flows
36,4122.0,0.00017,15734358.0,236461.0,65.0
37,4092.0,0.000149,15735478.0,224495.0,63.0
38,4290.0,0.000168,15725413.0,240704.0,65.0
39,4219.0,0.000107,15739652.0,227432.0,63.0
4,13988.0,2.9e-05,14615807.0,343591.0,63.0
40,14986.0,3e-05,16365724.0,334835.0,63.0
41,14429.0,3e-05,14630431.0,380139.0,69.0
42,4112.0,7.9e-05,15738688.0,224342.0,63.0
43,3870.0,0.000102,15725787.0,226327.0,65.0
44,15213.0,3e-05,16374020.0,351037.0,67.0
45,14838.0,2.9e-05,16341028.0,318881.0,61.0
46,4780.0,0.000105,15771516.0,258256.0,63.0
47,4445.0,0.000136,15751413.0,237349.0,65.0
48,4843.0,0.00011,15768561.0,253826.0,63.0
49,4732.0,0.000121,15764039.0,251868.0,63.0
5,15331.0,2.9e-05,16366111.0,356059.0,61.0
50,4695.0,0.000117,15758409.0,248334.0,63.0
51,4675.0,0.000114,15745578.0,257749.0,61.0
52,4696.0,0.000106,15755274.0,252374.0,65.0
53,15227.0,3e-05,16371370.0,340355.0,65.0
54,4709.0,0.000108,15756459.0,255050.0,63.0
55,4608.0,0.000113,15760333.0,256951.0,63.0
56,15227.0,2.8e-05,16359640.0,353062.0,63.0
57,15173.0,2.8e-05,16359276.0,342201.0,65.0
58,4780.0,0.000123,15760098.0,253438.0,63.0
59,4752.0,0.000128,15751962.0,263501.0,63.0
6,3415.0,0.000138,14030472.0,213104.0,63.0
60,3904.0,0.000103,15030311.0,220108.0,61.0
61,4303.0,0.0001245,14064135.0,240885.0,61.0
62,4221.0,0.000116,15745016.0,233117.0,65.0
63,3844.0,0.000103,14031647.0,223716.0,63.0
64,15832.0,2.9e-05,17175951.0,351246.0,65.0
65,4000.0,9.7e-05,15729061.0,222565.0,63.0
66,4023.0,9.3e-05,15737798.0,227580.0,63.0
67,15622.0,3e-05,16355820.0,368098.0,65.0
68,13904.0,3.1e-05,14598921.0,330681.0,63.0
69,13943.0,3e-05,14611475.0,341132.0,67.0
7,4389.0,0.000132,15751263.0,229917.0,65.0
70,14096.0,3e-05,14626701.0,350651.0,63.0
71,4147.0,0.0001,15744562.0,228644.0,63.0
72,4833.0,0.000117,15808087.0,265994.0,67.0
73,4816.0,0.000123,15756898.0,261625.0,65.0
74,15082.0,3e-05,16370010.0,346049.0,65.0
75,14303.0,3e-05,14512487.0,367160.0,63.0
76,13776.0,3e-05,14602242.0,329926.0,63.0
77,16134.0,2.9e-05,17206636.0,397505.0,67.0
78,13907.0,3e-05,14618555.0,337054.0,65.0
79,15311.0,3e-05,16345919.0,353908.0,59.0
8,3848.0,9.6e-05,15729571.0,221809.0,65.0
80,14929.0,3e-05,16360701.0,325709.0,65.0
81,14978.0,2.9e-05,16349194.0,329476.0,61.0
82,14820.0,2.9e-05,16352203.0,318701.0,63.0
83,15172.0,3e-05,16360915.0,342718.0,65.0
84,13682.0,3e-05,14605918.0,322293.0,65.0
85,15566.0,2.9e-05,16356746.0,369432.0,65.0
86,16488.0,3.2e-05,16380207.0,438493.0,63.0
87,15178.0,2.9e-05,16359779.0,340954.0,63.0
88,15118.0,3e-05,16245042.0,336542.0,63.0
89,4206.0,7.9e-05,15750855.0,220774.0,65.0
9,3983.0,9.9e-05,15678355.0,227076.0,65.0
90,4734.0,0.00011,15801851.0,262857.0,67.0
91,13721.0,3e-05,14528863.0,335103.0,65.0
92,16173.0,3e-05,17204686.0,367376.0,63.0
93,15206.0,2.9e-05,16362618.0,343840.0,63.0
94,4338.0,0.000132,14063609.0,245938.0,63.0
95,4262.0,0.000139,15741190.0,234529.0,65.0
96,14408.0,3.8e-05,14543015.0,374485.0,63.0
97,3953.0,0.00011,14059079.0,226627.0,65.0
98,4185.0,0.000218,13989266.0,242012.0,63.0
99,4914.0,0.000143,0.0,0.0,65.0
